"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"10/09/2022","40","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","22","15","40","21"
"10/10/2022","44","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","9","28","17","44","25"
"10/11/2022","42","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","21","18","42","17"
"10/12/2022","42","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","19","18","42","18"
"10/13/2022","37","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","19","14","37","24"
"10/14/2022","34","Ozone","Perdue","12-086-0029","AQS","8","34","16","31","27"
"10/15/2022","44","Ozone","Pompano Highlands","12-011-2003","AQS","7","44","15","32","24"
"10/16/2022","49","PM2.5","Coconut Creek","12-011-5005","AQS","6","42","22","49","12"
"10/17/2022","48","PM2.5","Coconut Creek","12-011-5005","AQS","8","42","32","48","36"
"10/18/2022","26","PM2.5","Coconut Creek","12-011-5005","AQS","5","26","13","26","23"
"10/19/2022","45","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","2","30","19","45","22"
"10/20/2022","40","Ozone","Perdue","12-086-0029","AQS","6","40","18","30","26"
"10/21/2022","41","Ozone","Perdue","12-086-0029","AQS","3","41","18","33","22"
"10/22/2022","42","Ozone","Daniela Banu NCORE","12-011-0034","AQS","6","42","16","35","36"
"10/23/2022","40","Ozone","Daniela Banu NCORE","12-011-0034","AQS","6","40","13","26","23"
"10/24/2022","40","Ozone","Perdue","12-086-0029","AQS","6","40","17","26","35"
"10/25/2022","44","Ozone","Daniela Banu NCORE","12-011-0034","AQS","7","44","18","28","38"
"10/26/2022","80","Ozone","Perdue","12-086-0029","AQS","9","80","23","48","42"
"10/27/2022","58","Ozone","Perdue","12-086-0029","AQS","9","58","23","51","48"
"10/28/2022","42","NO2","Perimeter Road","12-086-0035","AQS","7","34","19","39","42"
"10/29/2022","57","PM2.5","DELRAY BEACH","12-099-2005","AQS","6","36","27","57","27"
"10/30/2022","38","Ozone","Perdue","12-086-0029","AQS","5","38","18","32","22"
"10/31/2022","38","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","25","22","38","24"
"11/01/2022","35","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","22","19","35","18"
"11/02/2022","31","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","23","17","31","18"
"11/03/2022","37","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","31","19","37","26"
"11/04/2022","40","Ozone","Perdue","12-086-0029","AQS","5","40","21","38","31"
"11/05/2022","42","Ozone","Rosenstiel","12-086-0027","AQS","7","42","14","28","32"
"11/06/2022","39","PM2.5","Coconut Creek","12-011-5005","AQS","7","35","21","39","23"
"11/07/2022","48","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","37","31","48","29"
"11/08/2022","50","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","40","36","50","30"
"11/09/2022","45","PM2.5","Coconut Creek","12-011-5005","AQS","2","35","22","45","18"
"11/10/2022","34","Ozone","Rosenstiel","12-086-0027","AQS","3","34","12","28","20"
"11/11/2022","43","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","33","19","43","36"
"11/12/2022","49","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","9","41","17","49","35"
"11/13/2022","37","Ozone","Pompano Highlands","12-011-2003","AQS","8","37","13","30","27"
"11/14/2022","36","Ozone","Rosenstiel","12-086-0027","AQS","8","36","17","31","34"
"11/15/2022","38","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","31","16","38","33"
"11/16/2022","40","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","9","31","16","40","32"
"11/17/2022","56","PM2.5","Coconut Creek","12-011-5005","AQS","8","36","25","56","25"
"11/18/2022","42","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","39","20","42","42"
"11/19/2022","38","Ozone","Daniela Banu NCORE","12-011-0034","AQS","5","38","16","35","27"
"11/20/2022","38","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","37","12","38","31"
"11/21/2022","34","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","34","19","34","25"
"11/22/2022","38","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","10","28","16","38","28"
"11/23/2022","40","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","31","19","40","31"
"11/24/2022","35","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","26","18","35","27"
"11/25/2022","45","PM2.5","Coconut Creek","12-011-5005","AQS","8","26","22","45","24"
"11/26/2022","46","PM2.5","Coconut Creek","12-011-5005","AQS","8","35","20","46","27"
"11/27/2022","35","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","21","14","35","18"
"11/28/2022","44","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","36","19","44","27"
"11/29/2022","41","Ozone","Daniela Banu NCORE","12-011-0034","AQS","7","41","18","34","33"
"11/30/2022","40","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","9","32","21","40","29"
"12/01/2022","44","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","40","22","44","27"
"12/02/2022","47","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","40","28","47","33"
"12/03/2022","53","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","40","29","53","27"
"12/04/2022","40","PM2.5","Coconut Creek","12-011-5005","AQS","7","38","19","40","26"
"12/05/2022","49","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","44","21","49","30"
"12/06/2022","46","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","38","27","46","34"
"12/07/2022","37","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","37","21","37","25"
"12/08/2022","37","Ozone","Rosenstiel","12-086-0027","AQS","8","37","19","30","26"
"12/09/2022","48","PM2.5","Coconut Creek","12-011-5005","AQS","8","36","19","48","31"
"12/10/2022","60","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","47","21","60","43"
"12/11/2022","69","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","35","24","69","36"
"12/12/2022","77","PM2.5","Coconut Creek","12-011-5005","AQS","5","42","32","77","39"
"12/13/2022","64","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","40","25","64","30"
"12/14/2022","56","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","36","19","56","37"
"12/15/2022","54","PM2.5","Coconut Creek","12-011-5005","AQS","7","32","26","54","32"
"12/16/2022","41","PM2.5","Coconut Creek","12-011-5005","AQS","6","31","19","41","30"
"12/17/2022","33","Ozone","Lantana Preserve","12-099-0021","AQS","8","33","14","31","27"
"12/18/2022","40","PM2.5","Coconut Creek","12-011-5005","AQS","8","38","18","40","30"
"12/19/2022","43","Ozone","Rosenstiel","12-086-0027","AQS","6","43","21","31","35"
"12/20/2022","44","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","40","20","44","31"
"12/21/2022","36","Ozone","Rosenstiel","12-086-0027","AQS","7","36","17","32","35"
"12/22/2022","44","PM2.5","Coconut Creek","12-011-5005","AQS","7","33","19","44","34"
"12/23/2022","40","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","31","16","40","21"
"12/24/2022","33","Ozone","Daniela Banu NCORE","12-011-0034","AQS","2","33","12","28","13"
"12/25/2022","55","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","2","30","16","55","14"
"12/26/2022","42","PM2.5","Vista View Park","12-011-0033","AQS","2","28","14","42","25"
"12/27/2022","35","Ozone","Lamstein Lane","12-099-0022","AQS","5","35","13","29","15"
"12/28/2022","39","Ozone","Rosenstiel","12-086-0027","AQS","5","39","16","31","18"
"12/29/2022","37","Ozone","Pompano Highlands","12-011-2003","AQS","6","37","19","26","21"
"12/30/2022","38","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","30","17","38","30"
"12/31/2022","90","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","10","29","21","90","23"
