"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"10/04/2021","39","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","7","39","17","29","30"
"10/05/2021","35","Ozone","Pompano Highlands","12-011-2003","AQS","8","35","19","28","33"
"10/06/2021","49","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","7","31","25","49","21"
"10/07/2021","70","PM2.5","Coconut Creek","12-011-5005","AQS","7","24","56","70","10"
"10/08/2021","57","PM2.5","Coconut Creek","12-011-5005","AQS","8","27","39","57","30"
"10/09/2021","50","PM2.5","Miami Fire Station","12-086-1016","AQS","7","27","29","50","29"
"10/10/2021","39","Ozone","Vista View Park","12-011-0033","AQS","8","39","15","33","25"
"10/11/2021","32","PM2.5","KENDALL","12-086-0034","AQS","8","32","15","32","31"
"10/12/2021","33","Ozone","Rosenstiel","12-086-0027","AQS","7","33","12","23","32"
"10/13/2021","34","Ozone","Rosenstiel","12-086-0027","AQS","6","34","21","32","33"
"10/14/2021","35","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","6","28","17","35","25"
"10/15/2021","38","Ozone","Rosenstiel","12-086-0027","AQS","8","38","16","28","23"
"10/16/2021","51","Ozone","Rosenstiel","12-086-0027","AQS","9","51","14","33","29"
"10/17/2021","61","Ozone","Perdue","12-086-0029","AQS","10","61","17","38","35"
"10/18/2021","44","Ozone","Vista View Park","12-011-0033","AQS","5","44","22","30","34"
"10/19/2021","45","Ozone","Rosenstiel","12-086-0027","AQS","5","45","21","32","39"
"10/20/2021","43","Ozone","Rosenstiel","12-086-0027","AQS","6","43","20","29","29"
"10/21/2021","39","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","6","39","22","32","31"
"10/22/2021","31","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","29","16","31","30"
"10/23/2021","29","Ozone","Lantana Preserve","12-099-0021","AQS","7","29","14","25","21"
"10/24/2021","26","Ozone","Pompano Highlands","12-011-2003","AQS","7","26","9","24","24"
"10/25/2021","50","PM2.5","KENDALL","12-086-0034","AQS","7","18","19","50","25"
"10/26/2021","28","Ozone","Lantana Preserve","12-099-0021","AQS","2","28","13","24","21"
"10/27/2021","44","Ozone","Pompano Highlands","12-011-2003","AQS","5","44","14","30","29"
"10/28/2021","38","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","22","19","38","27"
"10/29/2021","45","NO2","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","2","43","24","34","45"
"10/30/2021","43","Ozone","Rosenstiel","12-086-0027","AQS","3","43","20","30","33"
"10/31/2021","43","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","7","43","13","28","27"
"11/01/2021","41","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","6","41","17","35","34"
"11/02/2021","38","PM2.5","Miami Fire Station","12-086-1016","AQS","7","37","18","38","35"
"11/03/2021","94","NO2","Near Road - Fort Lauderdale","12-011-0035","AQS","7","38","13","21","94"
"11/04/2021","36","Ozone","Rosenstiel","12-086-0027","AQS","7","36","11","23","35"
"11/05/2021","34","NO2","Perimeter Road","12-086-0035","AQS","8","32","10","29","34"
"11/06/2021","34","Ozone","Daniela Banu NCORE","12-011-0034","AQS","8","34","8","26","28"
"11/07/2021","34","Ozone","Vista View Park","12-011-0033","AQS","2","34","8","20","26"
"11/08/2021","42","Ozone","Daniela Banu NCORE","12-011-0034","AQS","3","42","16","30","29"
"11/09/2021","44","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","7","44","23","41","38"
"11/10/2021","42","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","7","42","19","31","36"
"11/11/2021","45","NO2","PENNSUCO","12-086-0019","AQS","7","38","17","29","45"
"11/12/2021","30","NO2","PENNSUCO","12-086-0019","AQS","7","28","13","26","30"
"11/13/2021","38","Ozone","Rosenstiel","12-086-0027","AQS","6","38","16","32","29"
"11/14/2021","44","PM2.5","Lamstein Lane","12-099-0022","AQS","3","42","13","44","31"
"11/15/2021","41","Ozone","Vista View Park","12-011-0033","AQS","5","41","18","34","33"
"11/16/2021","42","Ozone","Rosenstiel","12-086-0027","AQS","6","42","21","26","31"
"11/17/2021","41","Ozone","Rosenstiel","12-086-0027","AQS","6","41","20","30","22"
"11/18/2021","40","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","36","23","40","31"
"11/19/2021","33","Ozone","Pompano Highlands","12-011-2003","AQS","6","33","13","26","27"
"11/20/2021","33","Ozone","Pompano Highlands","12-011-2003","AQS","5","33","17","26","12"
"11/21/2021","33","Ozone","Rosenstiel","12-086-0027","AQS","7","33","14","28","23"
"11/22/2021","30","Ozone","Lamstein Lane","12-099-0022","AQS","7","30","14","24","28"
"11/23/2021","45","PM2.5","Lamstein Lane","12-099-0022","AQS","2","39","16","45","19"
"11/24/2021","42","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","6","42","19","33","25"
"11/25/2021","40","Ozone","Pompano Highlands","12-011-2003","AQS","9","40","16","32","35"
"11/26/2021","42","NO2","Perimeter Road","12-086-0035","AQS","9","41","14","35","42"
"11/27/2021","43","Ozone","Pompano Highlands","12-011-2003","AQS","6","43","15","42","36"
"11/28/2021","50","Ozone","Rosenstiel","12-086-0027","AQS","5","50","15","43","42"
"11/29/2021","45","Ozone","Vista View Park","12-011-0033","AQS","5","45","23","40","45"
"11/30/2021","44","Ozone","Vista View Park","12-011-0033","AQS","8","44","19","36","44"
"12/01/2021","46","NO2","Perimeter Road","12-086-0035","AQS","11","44","17","35","46"
"12/02/2021","48","NO2","Perimeter Road","12-086-0035","AQS","13","45","23","43","48"
"12/03/2021","49","Ozone","Lantana Preserve","12-099-0021","AQS","9","49","19","43","42"
"12/04/2021","45","PM2.5","KENDALL","12-086-0034","AQS","11","42","20","45","44"
"12/05/2021","39","NO2","Perimeter Road","12-086-0035","AQS","15","37","14","38","39"
"12/06/2021","30","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","10","26","14","30","28"
"12/07/2021","49","Ozone","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","10","49","19","33","31"
"12/08/2021","57","NO2","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS","13","43","19","38","57"
"12/09/2021","38","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","11","33","16","38","35"
"12/10/2021","44","NO2","Perimeter Road","12-086-0035","AQS","14","36","18","41","44"
"12/11/2021","33","NO2","Perimeter Road","12-086-0035","AQS","9","31","13","30","33"
"12/12/2021","35","Ozone","Pompano Highlands","12-011-2003","AQS","9","35","12","31","31"
"12/13/2021","37","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","34","19","37","35"
"12/14/2021","35","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","32","20","35","35"
"12/15/2021","33","Ozone","Lantana Preserve","12-099-0021","AQS","6","33","19","31","27"
"12/16/2021","39","Ozone","Rosenstiel","12-086-0027","AQS","6","39","23","35","25"
"12/17/2021","35","NO2","Perimeter Road","12-086-0035","AQS","6","34","19","28","35"
"12/18/2021","37","PM2.5","Miami Fire Station","12-086-1016","AQS","7","33","22","37","23"
"12/19/2021","36","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","32","18","36","22"
"12/20/2021","37","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","31","17","37","27"
"12/21/2021","33","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","29","14","33","25"
"12/22/2021","38","PM2.5","Lamstein Lane","12-099-0022","AQS","5","31","14","38","37"
"12/23/2021","42","NO2","Perimeter Road","12-086-0035","AQS","5","41","17","41","42"
"12/24/2021","84","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","9","44","21","84","42"
"12/25/2021","135","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","13","41","43","135","41"
"12/26/2021","55","PM2.5","Pompano Highlands","12-011-2003","AQS","16","46","19","55","44"
"12/27/2021","47","Ozone","Rosenstiel","12-086-0027","AQS","17","47","19","41","42"
"12/28/2021","49","NO2","Perimeter Road","12-086-0035","AQS","13","40","19","37","49"
"12/29/2021","35","Ozone","Rosenstiel","12-086-0027","AQS","9","35","16","34","35"
"12/30/2021","35","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","11","31","15","35","30"
"12/31/2021","60","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS","10","30","13","60","30"
