time,windspeed_10m_max (mp/h),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2021-11-16,15.0,13.39,3.88
2021-11-17,15.0,9.86,3.74
2021-11-18,15.7,5.76,2.20
2021-11-19,15.5,8.74,2.03
2021-11-20,18.0,10.10,2.89
2021-11-21,13.0,11.30,2.38
2021-11-22,12.7,12.54,2.53
2021-11-23,17.8,16.97,3.71
2021-11-24,15.4,13.07,3.73
2021-11-25,11.9,10.11,3.11
2021-11-26,7.6,14.87,2.97
2021-11-27,9.9,15.25,3.01
2021-11-28,6.6,15.65,2.84
2021-11-29,14.4,15.52,3.72
2021-11-30,9.0,13.85,3.13
2021-12-01,7.3,15.11,3.31
2021-12-02,9.4,14.69,3.23
2021-12-03,9.4,15.84,3.37
2021-12-04,7.4,9.42,2.32
2021-12-05,9.8,11.97,2.67
2021-12-06,9.5,9.91,1.95
2021-12-07,6.4,13.58,2.58
2021-12-08,7.4,14.88,3.03
2021-12-09,5.7,12.23,2.35
2021-12-10,8.1,12.09,2.39
2021-12-11,11.2,13.34,2.85
2021-12-12,9.1,13.89,2.91
2021-12-13,12.3,14.12,3.32
2021-12-14,12.9,12.46,3.08
2021-12-15,15.9,12.66,2.61
2021-12-16,16.1,12.61,3.21
2021-12-17,12.8,13.12,3.32
2021-12-18,14.1,11.21,2.60
2021-12-19,13.4,11.72,2.44
2021-12-20,7.9,11.34,2.11
2021-12-21,18.9,5.29,1.86
2021-12-22,15.8,12.40,2.70
2021-12-23,13.5,15.78,3.40
2021-12-24,10.8,14.18,3.26
2021-12-25,8.6,12.03,2.93
2021-12-26,6.5,11.70,2.32
2021-12-27,6.2,13.54,2.62
2021-12-28,9.4,10.39,2.38
2021-12-29,11.0,11.62,3.09
2021-12-30,8.5,12.87,2.90
2021-12-31,8.5,13.97,2.85
2022-01-01,9.6,12.95,2.89
2022-01-02,14.6,12.43,3.46
2022-01-03,12.2,9.86,2.57
2022-01-04,13.0,8.68,3.00
2022-01-05,10.4,11.41,2.57
2022-01-06,8.4,14.12,2.66
2022-01-07,9.2,11.78,2.39
2022-01-08,16.4,12.09,2.52
2022-01-09,17.6,10.32,2.18
2022-01-10,8.0,10.69,2.07
2022-01-11,15.5,11.74,2.11
2022-01-12,15.9,7.98,2.11
2022-01-13,8.5,13.78,2.70
2022-01-14,6.7,15.97,2.79
2022-01-15,12.0,16.44,3.32
2022-01-16,24.1,7.59,2.42
2022-01-17,18.0,12.77,3.44
2022-01-18,13.2,17.45,3.33
2022-01-19,8.3,12.65,2.77
2022-01-20,11.3,11.01,2.61
2022-01-21,7.0,12.94,2.36
2022-01-22,11.8,7.78,1.52
2022-01-23,14.0,10.97,1.95
