,temperature_2m,relativehumidity_2m,dewpoint_2m,precipitation,windspeed_10m,shortwave_radiation,time_local,year,month,day
445,,,,,,,13,2015,01,19
446,,,,,,,14,2015,01,19
447,,,,,,,15,2015,01,19
448,,,,,,,16,2015,01,19
449,,,,,,,17,2015,01,19
450,,,,,,,18,2015,01,19
451,,,,,,,19,2015,01,19
452,,,,,,,20,2015,01,19
453,,,,,,,21,2015,01,19
454,,,,,,,22,2015,01,19
455,,,,,,,23,2015,01,19
456,,,,,,,00,2015,01,20
457,,,,,,,01,2015,01,20
458,,,,,,,02,2015,01,20
459,,,,,,,03,2015,01,20
460,,,,,,,04,2015,01,20
461,,,,,,,05,2015,01,20
462,,,,,,,06,2015,01,20
463,,,,,,,07,2015,01,20
464,,,,,,,08,2015,01,20
465,,,,,,,09,2015,01,20
466,,,,,,,10,2015,01,20
467,,,,,,,11,2015,01,20
468,,,,,,,12,2015,01,20
469,,,,,,,13,2015,01,20
470,,,,,,,14,2015,01,20
471,,,,,,,15,2015,01,20
472,,,,,,,16,2015,01,20
473,,,,,,,17,2015,01,20
474,,,,,,,18,2015,01,20
475,,,,,,,19,2015,01,20
476,,,,,,,20,2015,01,20
477,,,,,,,21,2015,01,20
478,,,,,,,22,2015,01,20
479,,,,,,,23,2015,01,20
480,,,,,,,00,2015,01,21
481,,,,,,,01,2015,01,21
482,,,,,,,02,2015,01,21
483,,,,,,,03,2015,01,21
484,,,,,,,04,2015,01,21
485,,,,,,,05,2015,01,21
486,,,,,,,06,2015,01,21
487,,,,,,,07,2015,01,21
488,,,,,,,08,2015,01,21
489,,,,,,,09,2015,01,21
490,,,,,,,10,2015,01,21
491,,,,,,,11,2015,01,21
492,,,,,,,12,2015,01,21
493,,,,,,,13,2015,01,21
494,,,,,,,14,2015,01,21
495,,,,,,,15,2015,01,21
496,,,,,,,16,2015,01,21
497,,,,,,,17,2015,01,21
498,,,,,,,18,2015,01,21
499,,,,,,,19,2015,01,21
500,,,,,,,20,2015,01,21
501,,,,,,,21,2015,01,21
502,,,,,,,22,2015,01,21
503,,,,,,,23,2015,01,21
504,,,,,,,00,2015,01,22
505,,,,,,,01,2015,01,22
506,,,,,,,02,2015,01,22
507,,,,,,,03,2015,01,22
508,,,,,,,04,2015,01,22
509,,,,,,,05,2015,01,22
510,,,,,,,06,2015,01,22
511,,,,,,,07,2015,01,22
512,,,,,,,08,2015,01,22
513,,,,,,,09,2015,01,22
514,,,,,,,10,2015,01,22
515,,,,,,,11,2015,01,22
516,,,,,,,12,2015,01,22
517,,,,,,,13,2015,01,22
518,,,,,,,14,2015,01,22
519,,,,,,,15,2015,01,22
520,,,,,,,16,2015,01,22
521,,,,,,,17,2015,01,22
522,,,,,,,18,2015,01,22
523,,,,,,,19,2015,01,22
524,,,,,,,20,2015,01,22
525,,,,,,,21,2015,01,22
526,,,,,,,22,2015,01,22
527,,,,,,,23,2015,01,22
528,,,,,,,00,2015,01,23
529,,,,,,,01,2015,01,23
530,,,,,,,02,2015,01,23
531,,,,,,,03,2015,01,23
532,,,,,,,04,2015,01,23
533,,,,,,,05,2015,01,23
534,,,,,,,06,2015,01,23
535,,,,,,,07,2015,01,23
536,,,,,,,08,2015,01,23
537,,,,,,,09,2015,01,23
538,,,,,,,10,2015,01,23
539,,,,,,,11,2015,01,23
540,,,,,,,12,2015,01,23
541,,,,,,,13,2015,01,23
542,,,,,,,14,2015,01,23
543,,,,,,,15,2015,01,23
544,,,,,,,16,2015,01,23
545,,,,,,,17,2015,01,23
546,,,,,,,18,2015,01,23
547,,,,,,,19,2015,01,23
548,,,,,,,20,2015,01,23
549,,,,,,,21,2015,01,23
550,,,,,,,22,2015,01,23
551,,,,,,,23,2015,01,23
552,,,,,,,00,2015,01,24
553,,,,,,,01,2015,01,24
554,,,,,,,02,2015,01,24
555,,,,,,,03,2015,01,24
556,,,,,,,04,2015,01,24
557,,,,,,,05,2015,01,24
558,,,,,,,06,2015,01,24
559,,,,,,,07,2015,01,24
560,,,,,,,08,2015,01,24
561,,,,,,,09,2015,01,24
562,,,,,,,10,2015,01,24
563,,,,,,,11,2015,01,24
564,,,,,,,12,2015,01,24
565,,,,,,,13,2015,01,24
566,,,,,,,14,2015,01,24
567,,,,,,,15,2015,01,24
568,,,,,,,16,2015,01,24
569,,,,,,,17,2015,01,24
570,,,,,,,18,2015,01,24
571,,,,,,,19,2015,01,24
572,,,,,,,20,2015,01,24
573,,,,,,,21,2015,01,24
574,,,,,,,22,2015,01,24
575,,,,,,,23,2015,01,24
576,,,,,,,00,2015,01,25
577,,,,,,,01,2015,01,25
578,,,,,,,02,2015,01,25
579,,,,,,,03,2015,01,25
580,,,,,,,04,2015,01,25
581,,,,,,,05,2015,01,25
582,,,,,,,06,2015,01,25
583,,,,,,,07,2015,01,25
584,,,,,,,08,2015,01,25
585,,,,,,,09,2015,01,25
586,,,,,,,10,2015,01,25
587,,,,,,,11,2015,01,25
588,,,,,,,12,2015,01,25
589,,,,,,,13,2015,01,25
590,,,,,,,14,2015,01,25
591,,,,,,,15,2015,01,25
592,,,,,,,16,2015,01,25
593,,,,,,,17,2015,01,25
594,,,,,,,18,2015,01,25
595,,,,,,,19,2015,01,25
596,,,,,,,20,2015,01,25
597,,,,,,,21,2015,01,25
598,,,,,,,22,2015,01,25
599,,,,,,,23,2015,01,25
600,,,,,,,00,2015,01,26
601,,,,,,,01,2015,01,26
602,,,,,,,02,2015,01,26
603,,,,,,,03,2015,01,26
604,,,,,,,04,2015,01,26
605,,,,,,,05,2015,01,26
606,,,,,,,06,2015,01,26
607,,,,,,,07,2015,01,26
608,,,,,,,08,2015,01,26
609,,,,,,,09,2015,01,26
610,,,,,,,10,2015,01,26
611,,,,,,,11,2015,01,26
612,,,,,,,12,2015,01,26
613,,,,,,,13,2015,01,26
614,,,,,,,14,2015,01,26
615,,,,,,,15,2015,01,26
616,,,,,,,16,2015,01,26
617,,,,,,,17,2015,01,26
618,,,,,,,18,2015,01,26
619,,,,,,,19,2015,01,26
620,,,,,,,20,2015,01,26
621,,,,,,,21,2015,01,26
622,,,,,,,22,2015,01,26
623,,,,,,,23,2015,01,26
624,,,,,,,00,2015,01,27
625,,,,,,,01,2015,01,27
626,,,,,,,02,2015,01,27
627,,,,,,,03,2015,01,27
628,,,,,,,04,2015,01,27
629,,,,,,,05,2015,01,27
630,,,,,,,06,2015,01,27
631,,,,,,,07,2015,01,27
632,,,,,,,08,2015,01,27
633,,,,,,,09,2015,01,27
634,,,,,,,10,2015,01,27
635,,,,,,,11,2015,01,27
636,,,,,,,12,2015,01,27
637,,,,,,,13,2015,01,27
638,,,,,,,14,2015,01,27
639,,,,,,,15,2015,01,27
640,,,,,,,16,2015,01,27
641,,,,,,,17,2015,01,27
642,,,,,,,18,2015,01,27
643,,,,,,,19,2015,01,27
644,,,,,,,20,2015,01,27
645,,,,,,,21,2015,01,27
646,,,,,,,22,2015,01,27
647,,,,,,,23,2015,01,27
648,,,,,,,00,2015,01,28
649,,,,,,,01,2015,01,28
650,,,,,,,02,2015,01,28
651,,,,,,,03,2015,01,28
652,,,,,,,04,2015,01,28
653,,,,,,,05,2015,01,28
654,,,,,,,06,2015,01,28
655,,,,,,,07,2015,01,28
656,,,,,,,08,2015,01,28
657,,,,,,,09,2015,01,28
658,,,,,,,10,2015,01,28
659,,,,,,,11,2015,01,28
660,,,,,,,12,2015,01,28
661,,,,,,,13,2015,01,28
662,,,,,,,14,2015,01,28
663,,,,,,,15,2015,01,28
664,,,,,,,16,2015,01,28
665,,,,,,,17,2015,01,28
666,,,,,,,18,2015,01,28
667,,,,,,,19,2015,01,28
668,,,,,,,20,2015,01,28
669,,,,,,,21,2015,01,28
