day,month,year,daily_high_temperature
3.0,8.0,2018.0,85.8
3.0,8.0,2019.0,86.4
3.0,8.0,2020.0,88.6
3.0,8.0,2021.0,85.1
3.0,8.0,2022.0,87.7
3.0,8.0,2023.0,87.5
3.0,9.0,2015.0,88.7
3.0,9.0,2016.0,88.2
3.0,9.0,2017.0,87.7
3.0,9.0,2018.0,80.1
3.0,9.0,2019.0,87.0
3.0,9.0,2020.0,87.7
3.0,9.0,2021.0,86.4
3.0,9.0,2022.0,87.8
3.0,9.0,2023.0,86.2
3.0,10.0,2015.0,86.2
3.0,10.0,2016.0,84.7
3.0,10.0,2017.0,82.8
3.0,10.0,2018.0,84.5
3.0,10.0,2019.0,83.3
3.0,10.0,2020.0,81.9
3.0,10.0,2021.0,82.7
3.0,10.0,2022.0,84.1
3.0,11.0,2015.0,84.5
3.0,11.0,2016.0,80.3
3.0,11.0,2017.0,80.4
3.0,11.0,2018.0,80.2
3.0,11.0,2019.0,81.7
3.0,11.0,2020.0,76.8
3.0,11.0,2021.0,80.5
3.0,11.0,2022.0,83.7
3.0,12.0,2015.0,80.9
3.0,12.0,2016.0,78.2
3.0,12.0,2017.0,78.2
3.0,12.0,2018.0,84.8
3.0,12.0,2019.0,68.2
3.0,12.0,2020.0,73.7
3.0,12.0,2021.0,76.1
3.0,12.0,2022.0,79.2
4.0,1.0,2015.0,80.9
4.0,1.0,2016.0,68.9
4.0,1.0,2017.0,81.7
4.0,1.0,2018.0,58.5
4.0,1.0,2019.0,82.4
4.0,1.0,2020.0,83.6
4.0,1.0,2021.0,73.1
4.0,1.0,2022.0,75.1
4.0,1.0,2023.0,80.3
4.0,2.0,2015.0,76.3
4.0,2.0,2016.0,78.4
4.0,2.0,2017.0,77.4
4.0,2.0,2018.0,78.9
4.0,2.0,2019.0,76.5
4.0,2.0,2020.0,76.0
4.0,2.0,2021.0,70.5
4.0,2.0,2022.0,77.7
4.0,2.0,2023.0,73.9
4.0,3.0,2015.0,80.7
4.0,3.0,2016.0,82.9
4.0,3.0,2017.0,73.4
4.0,3.0,2018.0,75.8
4.0,3.0,2019.0,86.3
4.0,3.0,2020.0,83.1
4.0,3.0,2021.0,73.8
4.0,3.0,2022.0,78.2
4.0,3.0,2023.0,85.5
4.0,4.0,2015.0,84.3
4.0,4.0,2016.0,79.4
4.0,4.0,2017.0,86.0
4.0,4.0,2018.0,82.8
4.0,4.0,2019.0,78.3
4.0,4.0,2020.0,83.1
4.0,4.0,2021.0,72.7
4.0,4.0,2022.0,80.3
4.0,4.0,2023.0,83.2
4.0,5.0,2015.0,77.6
4.0,5.0,2016.0,81.5
4.0,5.0,2017.0,84.9
4.0,5.0,2018.0,80.2
4.0,5.0,2019.0,86.0
4.0,5.0,2020.0,85.5
4.0,5.0,2021.0,86.6
4.0,5.0,2022.0,84.4
4.0,5.0,2023.0,83.7
4.0,6.0,2015.0,84.0
4.0,6.0,2016.0,86.1
4.0,6.0,2017.0,81.9
4.0,6.0,2018.0,87.5
4.0,6.0,2019.0,88.0
4.0,6.0,2020.0,80.4
4.0,6.0,2021.0,85.1
4.0,6.0,2022.0,84.2
4.0,6.0,2023.0,83.7
4.0,7.0,2015.0,88.2
4.0,7.0,2016.0,87.3
4.0,7.0,2017.0,85.2
4.0,7.0,2018.0,84.7
4.0,7.0,2019.0,88.0
4.0,7.0,2020.0,88.3
4.0,7.0,2021.0,87.7
4.0,7.0,2022.0,86.3
4.0,7.0,2023.0,88.6
4.0,8.0,2015.0,89.9
4.0,8.0,2016.0,87.3
4.0,8.0,2017.0,89.0
4.0,8.0,2018.0,84.8
4.0,8.0,2019.0,84.8
4.0,8.0,2020.0,87.3
4.0,8.0,2021.0,86.6
4.0,8.0,2022.0,87.3
4.0,8.0,2023.0,86.2
4.0,9.0,2015.0,88.9
4.0,9.0,2016.0,88.0
4.0,9.0,2017.0,86.2
4.0,9.0,2018.0,84.2
4.0,9.0,2019.0,88.1
4.0,9.0,2020.0,88.8
4.0,9.0,2021.0,85.7
4.0,9.0,2022.0,88.1
4.0,9.0,2023.0,86.8
4.0,10.0,2015.0,84.8
4.0,10.0,2016.0,84.1
4.0,10.0,2017.0,79.0
4.0,10.0,2018.0,81.6
4.0,10.0,2019.0,84.5
4.0,10.0,2020.0,86.3
4.0,10.0,2021.0,84.5
4.0,10.0,2022.0,82.0
4.0,11.0,2015.0,83.6
4.0,11.0,2016.0,80.1
4.0,11.0,2017.0,80.7
4.0,11.0,2018.0,82.6
4.0,11.0,2019.0,84.3
4.0,11.0,2020.0,80.1
4.0,11.0,2021.0,81.0
4.0,11.0,2022.0,81.8
4.0,12.0,2015.0,75.6
4.0,12.0,2016.0,79.3
4.0,12.0,2017.0,78.3
4.0,12.0,2018.0,83.3
4.0,12.0,2019.0,74.7
4.0,12.0,2020.0,77.1
4.0,12.0,2021.0,76.7
4.0,12.0,2022.0,78.3
5.0,1.0,2015.0,81.5
5.0,1.0,2016.0,71.4
5.0,1.0,2017.0,78.5
5.0,1.0,2018.0,60.5
5.0,1.0,2019.0,78.7
5.0,1.0,2020.0,70.1
5.0,1.0,2021.0,71.3
5.0,1.0,2022.0,78.2
5.0,1.0,2023.0,81.4
5.0,2.0,2015.0,73.8
5.0,2.0,2016.0,72.7
5.0,2.0,2017.0,79.1
5.0,2.0,2018.0,79.4
5.0,2.0,2019.0,77.0
5.0,2.0,2020.0,78.1
5.0,2.0,2021.0,78.8
5.0,2.0,2022.0,78.1
5.0,2.0,2023.0,80.0
5.0,3.0,2015.0,82.7
5.0,3.0,2016.0,74.5
5.0,3.0,2017.0,72.7
5.0,3.0,2018.0,74.3
5.0,3.0,2019.0,83.0
5.0,3.0,2020.0,86.4
5.0,3.0,2021.0,77.3
5.0,3.0,2022.0,79.2
5.0,3.0,2023.0,85.3
5.0,4.0,2015.0,81.8
5.0,4.0,2016.0,79.4
5.0,4.0,2017.0,86.1
5.0,4.0,2018.0,80.2
5.0,4.0,2019.0,81.5
5.0,4.0,2020.0,82.0
5.0,4.0,2021.0,74.8
5.0,4.0,2022.0,83.4
5.0,4.0,2023.0,83.3
5.0,5.0,2015.0,77.7
5.0,5.0,2016.0,81.6
5.0,5.0,2017.0,84.2
5.0,5.0,2018.0,81.6
5.0,5.0,2019.0,86.4
5.0,5.0,2020.0,86.8
5.0,5.0,2021.0,86.9
5.0,5.0,2022.0,86.8
5.0,5.0,2023.0,84.3
5.0,6.0,2015.0,84.7
5.0,6.0,2016.0,87.1
5.0,6.0,2017.0,83.5
5.0,6.0,2018.0,88.2
5.0,6.0,2019.0,85.2
5.0,6.0,2020.0,83.2
5.0,6.0,2021.0,85.9
5.0,6.0,2022.0,85.0
5.0,6.0,2023.0,83.7
5.0,7.0,2015.0,88.8
5.0,7.0,2016.0,88.7
5.0,7.0,2017.0,87.0
5.0,7.0,2018.0,83.6
5.0,7.0,2019.0,84.6
5.0,7.0,2020.0,87.9
5.0,7.0,2021.0,84.3
5.0,7.0,2022.0,83.8
5.0,7.0,2023.0,88.8
5.0,8.0,2015.0,91.1
5.0,8.0,2016.0,88.4
5.0,8.0,2017.0,89.1
5.0,8.0,2018.0,85.6
5.0,8.0,2019.0,85.5
5.0,8.0,2020.0,85.7
5.0,8.0,2021.0,88.1
5.0,8.0,2022.0,85.7
5.0,8.0,2023.0,88.9
5.0,9.0,2015.0,87.1
5.0,9.0,2016.0,86.3
5.0,9.0,2017.0,85.8
5.0,9.0,2018.0,85.6
5.0,9.0,2019.0,89.1
5.0,9.0,2020.0,87.9
5.0,9.0,2021.0,87.1
5.0,9.0,2022.0,87.6
5.0,9.0,2023.0,86.7
5.0,10.0,2015.0,84.5
5.0,10.0,2016.0,84.4
5.0,10.0,2017.0,80.5
5.0,10.0,2018.0,85.1
5.0,10.0,2019.0,84.3
5.0,10.0,2020.0,86.4
5.0,10.0,2021.0,84.8
5.0,10.0,2022.0,81.5
5.0,11.0,2015.0,83.7
5.0,11.0,2016.0,79.1
5.0,11.0,2017.0,80.2
5.0,11.0,2018.0,83.1
5.0,11.0,2019.0,83.0
5.0,11.0,2020.0,78.6
5.0,11.0,2021.0,76.7
5.0,11.0,2022.0,81.9
5.0,12.0,2015.0,77.3
5.0,12.0,2016.0,80.1
5.0,12.0,2017.0,79.2
5.0,12.0,2018.0,72.6
5.0,12.0,2019.0,72.0
5.0,12.0,2020.0,80.4
5.0,12.0,2021.0,79.0
5.0,12.0,2022.0,78.7
6.0,1.0,2015.0,80.8
6.0,1.0,2016.0,71.6
6.0,1.0,2017.0,80.0
6.0,1.0,2018.0,67.4
6.0,1.0,2019.0,75.6
6.0,1.0,2020.0,71.6
6.0,1.0,2021.0,70.5
6.0,1.0,2022.0,75.7
6.0,1.0,2023.0,74.4
6.0,2.0,2015.0,72.0
6.0,2.0,2016.0,75.9
6.0,2.0,2017.0,78.0
6.0,2.0,2018.0,77.5
6.0,2.0,2019.0,76.1
6.0,2.0,2020.0,81.5
6.0,2.0,2021.0,80.1
6.0,2.0,2022.0,78.3
6.0,2.0,2023.0,78.1
6.0,3.0,2015.0,82.4
6.0,3.0,2016.0,77.7
6.0,3.0,2017.0,73.1
6.0,3.0,2018.0,77.6
6.0,3.0,2019.0,69.3
6.0,3.0,2020.0,82.7
6.0,3.0,2021.0,76.0
6.0,3.0,2022.0,79.2
6.0,3.0,2023.0,85.5
6.0,4.0,2015.0,82.6
6.0,4.0,2016.0,74.8
6.0,4.0,2017.0,86.4
6.0,4.0,2018.0,80.2
6.0,4.0,2019.0,82.5
6.0,4.0,2020.0,81.4
6.0,4.0,2021.0,76.6
6.0,4.0,2022.0,86.4
6.0,4.0,2023.0,82.4
6.0,5.0,2015.0,80.9
6.0,5.0,2016.0,80.3
6.0,5.0,2017.0,80.4
6.0,5.0,2018.0,83.4
6.0,5.0,2019.0,86.7
6.0,5.0,2020.0,88.4
6.0,5.0,2021.0,88.7
6.0,5.0,2022.0,87.8
6.0,5.0,2023.0,83.6
6.0,6.0,2015.0,83.7
6.0,6.0,2016.0,87.2
6.0,6.0,2017.0,83.1
6.0,6.0,2018.0,86.5
6.0,6.0,2019.0,88.1
6.0,6.0,2020.0,85.5
6.0,6.0,2021.0,85.9
6.0,6.0,2022.0,84.5
6.0,6.0,2023.0,82.2
6.0,7.0,2015.0,90.2
6.0,7.0,2016.0,88.3
6.0,7.0,2017.0,88.2
6.0,7.0,2018.0,86.4
6.0,7.0,2019.0,85.5
6.0,7.0,2020.0,87.4
6.0,7.0,2021.0,84.0
6.0,7.0,2022.0,87.0
6.0,7.0,2023.0,89.1
6.0,8.0,2015.0,92.3
6.0,8.0,2016.0,89.9
6.0,8.0,2017.0,87.5
6.0,8.0,2018.0,86.3
6.0,8.0,2019.0,85.3
6.0,8.0,2020.0,87.9
6.0,8.0,2021.0,87.7
6.0,8.0,2022.0,86.4
6.0,8.0,2023.0,91.1
6.0,9.0,2015.0,85.5
6.0,9.0,2016.0,83.5
6.0,9.0,2017.0,86.5
6.0,9.0,2018.0,82.3
6.0,9.0,2019.0,91.0
6.0,9.0,2020.0,84.1
6.0,9.0,2021.0,87.4
6.0,9.0,2022.0,89.3
6.0,9.0,2023.0,87.3
6.0,10.0,2015.0,85.0
6.0,10.0,2016.0,80.9
6.0,10.0,2017.0,85.8
6.0,10.0,2018.0,83.7
6.0,10.0,2019.0,84.9
6.0,10.0,2020.0,86.1
6.0,10.0,2021.0,86.1
6.0,10.0,2022.0,81.1
6.0,11.0,2015.0,83.9
6.0,11.0,2016.0,78.9
6.0,11.0,2017.0,80.7
6.0,11.0,2018.0,82.8
6.0,11.0,2019.0,82.9
6.0,11.0,2020.0,80.2
6.0,11.0,2021.0,74.5
6.0,11.0,2022.0,82.3
6.0,12.0,2015.0,78.3
6.0,12.0,2016.0,83.8
6.0,12.0,2017.0,80.5
6.0,12.0,2018.0,73.4
6.0,12.0,2019.0,76.7
6.0,12.0,2020.0,80.1
6.0,12.0,2021.0,79.1
6.0,12.0,2022.0,79.7
7.0,1.0,2015.0,78.1
7.0,1.0,2016.0,74.6
7.0,1.0,2017.0,78.9
7.0,1.0,2018.0,70.5
7.0,1.0,2019.0,77.5
7.0,1.0,2020.0,75.7
7.0,1.0,2021.0,75.7
7.0,1.0,2022.0,80.1
7.0,1.0,2023.0,75.3
7.0,2.0,2015.0,69.8
7.0,2.0,2016.0,63.3
7.0,2.0,2017.0,79.2
7.0,2.0,2018.0,78.6
7.0,2.0,2019.0,76.4
7.0,2.0,2020.0,77.4
7.0,2.0,2021.0,82.4
7.0,2.0,2022.0,78.9
7.0,2.0,2023.0,75.5
7.0,3.0,2015.0,78.5
7.0,3.0,2016.0,72.8
7.0,3.0,2017.0,75.8
7.0,3.0,2018.0,78.7
7.0,3.0,2019.0,72.5
7.0,3.0,2020.0,72.0
7.0,3.0,2021.0,73.2
7.0,3.0,2022.0,80.2
7.0,3.0,2023.0,85.2
7.0,4.0,2015.0,82.9
7.0,4.0,2016.0,82.2
7.0,4.0,2017.0,79.0
7.0,4.0,2018.0,84.5
7.0,4.0,2019.0,82.2
7.0,4.0,2020.0,82.1
7.0,4.0,2021.0,78.0
7.0,4.0,2022.0,87.0
7.0,4.0,2023.0,82.6
7.0,5.0,2015.0,85.1
7.0,5.0,2016.0,79.0
7.0,5.0,2017.0,81.3
7.0,5.0,2018.0,85.5
7.0,5.0,2019.0,84.3
7.0,5.0,2020.0,86.2
7.0,5.0,2021.0,88.5
7.0,5.0,2022.0,89.5
7.0,5.0,2023.0,80.4
7.0,6.0,2015.0,83.9
7.0,6.0,2016.0,86.8
7.0,6.0,2017.0,82.5
